sentiment,text,user
"neutral","RT @teatro_rival: O cantor e compositor Jay Vaquer está de volta ao palco do #TeatroRivalPetrobras com o show do CD “Ecos do Acaso e Casos…","Danypelleteiro"
"neutral","@teatro_rival @jayvaquer @petrobras Amooooooooo o @jayvaquer","Danypelleteiro"
"neutral","Qual empresa você acha que é a mais influente do mundo? 💼🏙 — Tem varias, Petrobras, Ambev, Coca-cola, etc... https://t.co/SUmQqmlDfo","fprodrigues22"
"neutral","Qual empresa você acha que é a mais influente do mundo? 💼🏙 — Acho a Petrobrás. https://t.co/GCc4GLKEgD","JeanLuc24176175"
"neutral","Qual empresa você acha que é a mais influente do mundo? 💼🏙 — petrobras https://t.co/szn6JQxfuT","amandiocaaa_"
"neutral","RT @teatro_rival: O cantor e compositor Jay Vaquer está de volta ao palco do #TeatroRivalPetrobras com o show do CD “Ecos do Acaso e Casos…","barogasm"
"neutral","@dportella__ @andrizek Se você olhar o próprio estado coloca questões pra impedir o livre mercado. Companhia aéreas… https://t.co/LeMqQw5vea","pedromquadros"
"neutral","Antes do leilão 💡\n\nAmazonas Distribuidora é separada da Amazonas GT e se prepara para leilão no dia 26 de setembro… https://t.co/1vcP7lNv69","PortalAmazonia"
"positive","Segunda recebi e-mail para conhecer a refinaria de Paulínia da Petrobrás, semana q vem, td Free...\n Mas estarei em… https://t.co/GixJdkfuOq","j_tibes"
"neutral","@PatoCorporation A Petrobras se  viu obrigada a importar combustíveis e vender a um preço menor no  mercado interno… https://t.co/ii59x44OQJ","lunardosk8"
"neutral","@PatoCorporation Com uma política de crescente estatização e agigantamento da Petrobras,  aliada ao controle de pre… https://t.co/mQr06GG0S0","lunardosk8"
"neutral","@igor_agatti @sonia_schoecher @lenonkimc @David_Pikachuu @guilher19877484 @lucas_ecn @o_antagonista E 1:30:02 Ele f… https://t.co/zwMvc6sGN0","carlosrbitt"
"neutral","@Bruno191289 @HelenaLuciaRib1 @ptbrasil @Haddad_Fernando Eai brunin, e você que é MILITONTO, ACREDITA EM UMA FARSA… https://t.co/VzMOUVCVQG","FsmLuuh"
"neutral","@sonia_schoecher @carlosrbitt @lenonkimc @David_Pikachuu @guilher19877484 @lucas_ecn @o_antagonista… https://t.co/qpTyk6VZkY","igor_agatti"
"neutral","@Deborahportes2 @patibaroli Opinião???? Mortadela!! Falar até papagaio fala!! Q idiotice! kakakak ...vou mostrar ma… https://t.co/iTX1Cd0dzB","jbtlucena"
"neutral","@MatescoVictor @ptbrasil @Haddad_Fernando Então pode esperar por 12 anos pois só em 2034 para ele se eleger novamen… https://t.co/F1TLuP2jhA","FsmLuuh"
"neutral","Vale a pena para a Petrobras continuar a aplicar multas a suas contratadas como se não houvesse amanhã? Claro que n… https://t.co/5DRtZ7kGPQ","RdiCillo"
"neutral","@BlogdoNoblat Hahahahah hahahahah hahahahah hahahahah hahahahah hahahahah hahahahah hahahahah\nTá muito engraçado...… https://t.co/WhXBSdbBmT","lu_senna"
